,acousticness,instrumentalness,key,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Emotion
154,0.113,0.0,11,0.741,0.79,0.0,11,0.0542,-4.086,0,0.0469,104.043,4,0.528,0
155,0.0323,0.0,5,0.645,0.741,0.0,5,0.29,-4.989,0,0.0339,123.07,4,0.534,0
156,0.158,0.0,1,0.855,0.624,0.0,1,0.0513,-4.093,1,0.0488,117.959,4,0.962,0
157,0.00459,0.0,8,0.744,0.739,0.0,8,0.306,-5.35,1,0.0387,104.99,4,0.649,0
158,0.152,0.0,5,0.677,0.497,0.0,5,0.0911,-5.763,1,0.0809,99.137,4,0.419,0
159,0.0635,0.0,8,0.755,0.751,0.0,8,0.0812,-4.034,1,0.0748,102.002,4,0.491,0
160,0.0852,0.00383,11,0.649,0.762,0.00383,11,0.118,-5.153,0,0.0447,107.034,4,0.48,0
161,0.15,0.132,7,0.703,0.868,0.132,7,0.104,-4.661,0,0.0291,121.03,4,0.733,0
162,0.123,0.0,8,0.462,0.83,0.0,8,0.0726,-4.089,0,0.0673,105.058,4,0.557,0
163,0.446,2.46e-05,8,0.712,0.51,2.46e-05,8,0.112,-8.162,1,0.0633,122.964,4,0.268,0
164,0.178,0.0,8,0.649,0.664,0.0,8,0.15,-4.768,0,0.0617,110.041,4,0.339,0
165,0.0571,0.0,5,0.71,0.73,0.0,5,0.139,-4.001,1,0.0607,99.986,4,0.48,0
166,0.183,0.0,1,0.593,0.868,0.0,1,0.365,-3.573,0,0.295,104.988,4,0.496,0
167,0.118,0.0,7,0.653,0.81,0.0,7,0.126,-6.032,0,0.0558,121.951,4,0.583,0
168,0.535,2.55e-06,9,0.752,0.505,2.55e-06,9,0.104,-7.621,1,0.253,91.97,4,0.419,0
169,0.399,0.0,7,0.737,0.734,0.0,7,0.323,-4.71,1,0.156,91.999,4,0.357,0
170,0.0252,0.0,11,0.701,0.638,0.0,11,0.256,-6.889,0,0.238,144.084,4,0.868,0
171,0.0545,0.0,0,0.623,0.654,0.0,0,0.0838,-5.675,0,0.0372,95.921,4,0.401,0
172,0.0485,0.0,9,0.746,0.846,0.0,9,0.195,-2.432,1,0.048,114.955,4,0.403,0
173,0.0448,1.48e-05,1,0.635,0.795,1.48e-05,1,0.119,-5.089,0,0.0917,103.951,4,0.404,0
174,0.0588,5.22e-06,11,0.722,0.718,5.22e-06,11,0.0931,-4.081,0,0.0426,102.979,4,0.656,0
175,0.0771,4.71e-06,7,0.709,0.782,4.71e-06,7,0.302,-3.526,0,0.0469,102.032,4,0.728,0
176,0.000875,1.53e-05,1,0.755,0.719,1.53e-05,1,0.326,-5.316,0,0.0421,121.986,4,0.813,0
177,0.281,3.29e-05,0,0.718,0.609,3.29e-05,0,0.234,-4.699,0,0.0429,122.948,4,0.497,0
178,0.0291,0.0,5,0.83,0.508,0.0,5,0.24,-6.07,1,0.0613,95.051,4,0.797,0
179,0.136,0.000129,0,0.707,0.832,0.000129,0,0.248,-4.712,1,0.0255,105.008,4,0.391,0
180,0.0235,1.52e-05,3,0.667,0.648,1.52e-05,3,0.0427,-6.398,0,0.0626,95.031,4,0.589,0
181,0.0905,0.0,0,0.648,0.532,0.0,0,0.0831,-6.597,1,0.0746,99.983,4,0.487,0
182,0.401,1.16e-05,1,0.763,0.671,1.16e-05,1,0.375,-4.029,0,0.1,120.06,4,0.602,0
183,0.00319,0.174,1,0.493,0.66,0.174,1,0.246,-5.998,1,0.0408,175.917,4,0.226,0
184,0.549,0.00356,5,0.87,0.502,0.00356,5,0.0916,-7.497,0,0.0549,82.53,4,0.673,0
185,0.0306,2.46e-05,11,0.607,0.649,2.46e-05,11,0.174,-6.695,0,0.0362,102.996,4,0.505,0
186,0.0208,0.000928,7,0.606,0.685,0.000928,7,0.107,-7.486,1,0.0343,116.994,4,0.224,0
187,0.0913,0.0,1,0.769,0.631,0.0,1,0.114,-6.769,1,0.0568,100.968,4,0.512,0
188,0.0735,0.0,9,0.624,0.876,0.0,9,0.327,-3.374,1,0.1,99.943,4,0.781,0
189,0.0604,0.000611,0,0.67,0.838,0.000611,0,0.159,-4.031,1,0.0362,104.998,4,0.717,0
190,0.032,0.0,4,0.607,0.718,0.0,4,0.403,-4.095,1,0.0978,101.821,4,0.551,0
191,0.409,5.05e-06,3,0.721,0.752,5.05e-06,3,0.101,-6.757,1,0.0691,89.557,4,0.648,0
192,0.217,3.3e-06,2,0.62,0.713,3.3e-06,2,0.222,-4.753,1,0.0342,137.957,4,0.451,0
193,0.152,0.0,0,0.675,0.937,0.0,0,0.154,-3.525,0,0.0509,103.961,4,0.567,0
194,0.174,0.0,11,0.757,0.565,0.0,11,0.105,-5.895,1,0.0324,119.959,4,0.682,0
